//
_ILOT23BAT1;Îlot 23 Bâtiment 1
_ILOT35BAT27;Îlot 35 Bâtiment 27
_ILOT35BAT28;Îlot 35 Bâtiment 28
_ILOT35BAT29;Îlot 35 Bâtiment 29
_ILOT35BAT31;Îlot 35 Bâtiment 31
_ILOT35BAT32;Îlot 35 Bâtiment 32
_ILOT35BAT33;Îlot 35 Bâtiment 33
_ILOT35BAT34;Îlot 35 Bâtiment 34
_ILOT35BAT35;Îlot 35 Bâtiment 35
_ILOT35BAT36;Îlot 35 Bâtiment 36
_ILOT35BAT37;Îlot 35 Bâtiment 37
_ILOT35BAT38;Îlot 35 Bâtiment 38
_ILOT35BAT39;Îlot 35 Bâtiment 39
_ILOT35BAT40;Îlot 35 Bâtiment 40
_ILOT35BAT41;Îlot 35 Bâtiment 41
_ILOT35BAT42;Îlot 35 Bâtiment 42
_ILOT35BAT43;Îlot 35 Bâtiment 43
_ILOT35BAT44;Îlot 35 Bâtiment 44
_ILOT35BAT45;Îlot 35 Bâtiment 45
_ILOT35BAT46;Îlot 35 Bâtiment 46
_ILOT35BAT47;Îlot 35 Bâtiment 47
_ILOT35BAT48;Îlot 35 Bâtiment 48
_ILOT35BAT49;Îlot 35 Bâtiment 49
_ILOT35BAT50;Îlot 35 Bâtiment 50
_ILOT35BAT51;Îlot 35 Bâtiment 51
_ILOT35BAT52;Îlot 35 Bâtiment 52
_EGLISE_SAINT_GENGOULT;Îlot 35 Église Saint-Gengoult
//
//
_ILOT36BAT1;Îlot 36 Bâtiment 1
_ILOT36BAT2;Îlot 36 Bâtiment 2
_ILOT36BAT3;Îlot 36 Bâtiment 3
_ILOT36BAT4;Îlot 36 Bâtiment 4
_ILOT36BAT5;Îlot 36 Bâtiment 5
_ILOT36BAT6;Îlot 36 Bâtiment 6
_ILOT36BAT7;Îlot 36 Bâtiment 7
_ILOT36BAT8;Îlot 36 Bâtiment 8
_ILOT36BAT9;Îlot 36 Bâtiment 9
_ILOT36BAT10;Îlot 36 Bâtiment 10
_ILOT36BAT11;Îlot 36 Bâtiment 11
_ILOT36BAT12;Îlot 36 Bâtiment 12
_ILOT36BAT13;Îlot 36 Bâtiment 13
_ILOT36BAT14;Îlot 36 Bâtiment 14
_ILOT36BAT15;Îlot 36 Bâtiment 15
//
//
_ILOT39BAT1;Îlot 39 Bâtiment 1
_ILOT39BAT2;Îlot 39 Bâtiment 2
_ILOT39BAT3;Îlot 39 Bâtiment 3
_ILOT39BAT4;Îlot 39 Bâtiment 4
_ILOT39BAT5;Îlot 39 Bâtiment 5
_ILOT39BAT6;Îlot 39 Bâtiment 6
//
//
_ILOT40BAT1;Îlot 40 Bâtiment 1
_ILOT40BAT2;Îlot 40 Bâtiment 2
_ILOT40BAT3;Îlot 40 Bâtiment 3
_ILOT40BAT4;Îlot 40 Bâtiment 4
//
//
_ILOT41BAT1;Îlot 41 Bâtiment 1
_ILOT41BAT2;Îlot 41 Bâtiment 2
_ILOT41BAT3;Îlot 41 Bâtiment 3
_ILOT41BAT4;Îlot 41 Bâtiment 4
_ILOT41BAT5;Îlot 41 Bâtiment 5
_ILOT41BAT6;Îlot 41 Bâtiment 6
_ILOT41BAT7;Îlot 41 Bâtiment 7
_ILOT41BAT8;Îlot 41 Bâtiment 8
_ILOT41BAT9;Îlot 41 Bâtiment 9
_ILOT41BAT10;Îlot 41 Bâtiment 10
_ILOT41BAT11;Îlot 41 Bâtiment 11
_ILOT41BAT12;Îlot 41 Bâtiment 12
_ILOT41BAT13;Îlot 41 Bâtiment 13
_ILOT41BAT14;Îlot 41 Bâtiment 14
_ILOT41BAT16;Îlot 41 Bâtiment 16
_ILOT41BAT17;Îlot 41 Bâtiment 17
_ILOT41BAT18;Îlot 41 Bâtiment 18
_ILOT41BAT19;Îlot 41 Bâtiment 19
_ILOT41BAT20;Îlot 41 Bâtiment 20
_ILOT41BAT21;Îlot 41 Bâtiment 21
_ILOT41BAT22;Îlot 41 Bâtiment 22
//
//
_ILOT42BAT1;Îlot 42 Bâtiment 1
_ILOT42BAT2;Îlot 42 Bâtiment 2
_ILOT42BAT3;Îlot 42 Bâtiment 3
_ILOT42BAT4;Îlot 42 Bâtiment 4
_ILOT42BAT5;Îlot 42 Bâtiment 5
_ILOT42BAT6;Îlot 42 Bâtiment 6
_ILOT42BAT7;Îlot 42 Bâtiment 7
_ILOT42BAT8;Îlot 42 Bâtiment 8
_ILOT42BAT9;Îlot 42 Bâtiment 9
_ILOT42BAT10;Îlot 42 Bâtiment 10
_ILOT42BAT11;Îlot 42 Bâtiment 11
_ILOT42BAT12;Îlot 42 Bâtiment 12
_ILOT42BAT13;Îlot 42 Bâtiment 13
_ILOT42BAT14;Îlot 42 Bâtiment 14
_ILOT42BAT15;Îlot 42 Bâtiment 15
_ILOT42BAT16;Îlot 42 Bâtiment 16
_ILOT42BAT17;Îlot 42 Bâtiment 17
_ILOT42BAT18;Îlot 42 Bâtiment 18
_ILOT42BAT19;Îlot 42 Bâtiment 19
_ILOT42BAT20;Îlot 42 Bâtiment 20
_ILOT42BAT21;Îlot 42 Bâtiment 21
_ILOT42BAT22;Îlot 42 Bâtiment 22
_ILOT42BAT23;Îlot 42 Bâtiment 23
_ILOT42BAT24;Îlot 42 Bâtiment 24
_ILOT42BAT25;Îlot 42 Bâtiment 25
_ILOT42BAT26;Îlot 42 Bâtiment 26
_ILOT42BAT27;Îlot 42 Bâtiment 27
_ILOT42BAT28;Îlot 42 Bâtiment 28
_ILOT42BAT29;Îlot 42 Bâtiment 29
_ILOT42BAT30;Îlot 42 Bâtiment 30
_ILOT42BAT31;Îlot 42 Bâtiment 31
_ILOT42BAT32;Îlot 42 Bâtiment 32
_ILOT42BAT33;Îlot 42 Bâtiment 33
_ILOT42BAT34;Îlot 42 Bâtiment 34
_ILOT42BAT35;Îlot 42 Bâtiment 35
_ILOT42BAT36;Îlot 42 Bâtiment 36
_ILOT42BAT37;Îlot 42 Bâtiment 37
_ILOT42BAT38;Îlot 42 Bâtiment 38
_ILOT42BAT39;Îlot 42 Bâtiment 39
_ILOT42BAT40;Îlot 42 Bâtiment 40
_ILOT42BAT41;Îlot 42 Bâtiment 41
_ILOT42BAT42;Îlot 42 Bâtiment 42
_ILOT42BAT43;Îlot 42 Bâtiment 43
_ILOT42BAT44;Îlot 42 Bâtiment 44
_ILOT42BAT45;Îlot 42 Bâtiment 45
_ILOT42BAT46;Îlot 42 Bâtiment 46
_ILOT42BAT47;Îlot 42 Bâtiment 47
_ILOT42BAT48;Îlot 42 Bâtiment 48
_ILOT42BAT49;Îlot 42 Bâtiment 49
_ILOT42BAT50;Îlot 42 Bâtiment 50
_ILOT42BAT51;Îlot 42 Bâtiment 51
_ILOT42BAT52;Îlot 42 Bâtiment 52
_ILOT42BAT53;Îlot 42 Bâtiment 53
_ILOT42BAT54;Îlot 42 Bâtiment 54
_ILOT42BAT55;Îlot 42 Bâtiment 55
_ILOT42BAT56;Îlot 42 Bâtiment 56
_ILOT42BAT57;Îlot 42 Bâtiment 57
_ILOT42BAT58;Îlot 42 Bâtiment 58
_ILOT42BAT59;Îlot 42 Bâtiment 59
_ILOT42BAT60;Îlot 42 Bâtiment 60
_ILOT42BAT61;Îlot 42 Bâtiment 61
_ILOT42BAT62;Îlot 42 Bâtiment 62
_ILOT42BAT63;Îlot 42 Bâtiment 63
_ILOT42BAT64;Îlot 42 Bâtiment 64
_ILOT42BAT65;Îlot 42 Bâtiment 65
_ILOT42BAT66;Îlot 42 Bâtiment 66
_ILOT42BAT67;Îlot 42 Bâtiment 67
_ILOT42BAT68;Îlot 42 Bâtiment 68
_ILOT42BAT69;Îlot 42 Bâtiment 69
_ILOT42BAT70;Îlot 42 Bâtiment 70
_ILOT42BAT71;Îlot 42 Bâtiment 71
_ILOT42BAT72;Îlot 42 Bâtiment 72
_ILOT42BAT73;Îlot 42 Bâtiment 73
_ILOT42BAT74;Îlot 42 Bâtiment 74
_ILOT42BAT75;Îlot 42 Bâtiment 75
_ILOT42BAT76;Îlot 42 Bâtiment 76
//
//
_ILOT43BAT1;Îlot 43 Bâtiment 1
_ILOT43BAT2;Îlot 43 Bâtiment 2
_ILOT43BAT3;Îlot 43 Bâtiment 3
_ILOT43BAT4;Îlot 43 Bâtiment 4
_ILOT43BAT5;Îlot 43 Bâtiment 5
_ILOT43BAT6;Îlot 43 Bâtiment 6
_ILOT43BAT7;Îlot 43 Bâtiment 7
_ILOT43BAT8;Îlot 43 Bâtiment 8
_ILOT43BAT9;Îlot 43 Bâtiment 9
_ILOT43BAT10;Îlot 43 Bâtiment 10
_ILOT43BAT11;Îlot 43 Bâtiment 11
_ILOT43BAT12;Îlot 43 Bâtiment 12
_ILOT43BAT13;Îlot 43 Bâtiment 13
_ILOT43BAT14;Îlot 43 Bâtiment 14
_ILOT43BAT15;Îlot 43 Bâtiment 15
_ILOT43BAT16;Îlot 43 Bâtiment 16
_ILOT43BAT17;Îlot 43 Bâtiment 17
_ILOT43BAT18;Îlot 43 Bâtiment 18
_ILOT43BAT19;Îlot 43 Bâtiment 19
_ILOT43BAT20;Îlot 43 Bâtiment 20
_ILOT43BAT21;Îlot 43 Bâtiment 21
_ILOT43BAT22;Îlot 43 Bâtiment 22
_ILOT43BAT23;Îlot 43 Bâtiment 23
_ILOT43BAT24;Îlot 43 Bâtiment 24
_ILOT43BAT25;Îlot 43 Bâtiment 25
_ILOT43BAT26;Îlot 43 Bâtiment 26
_ILOT43BAT27;Îlot 43 Bâtiment 27
_ILOT43BAT28;Îlot 43 Bâtiment 28
_ILOT43BAT29;Îlot 43 Bâtiment 29
_ILOT43BAT30;Îlot 43 Bâtiment 30
_ILOT43BAT31;Îlot 43 Bâtiment 31
_ILOT43BAT32;Îlot 43 Bâtiment 32
_ILOT43BAT33;Îlot 43 Bâtiment 33
_ILOT43BAT34;Îlot 43 Bâtiment 34
_ILOT43BAT35;Îlot 43 Bâtiment 35
_ILOT43BAT36;Îlot 43 Bâtiment 36
_ILOT43BAT37;Îlot 43 Bâtiment 37
_ILOT43BAT38;Îlot 43 Bâtiment 38
_ILOT43BAT39;Îlot 43 Bâtiment 39
_ILOT43BAT40;Îlot 43 Bâtiment 40
_ILOT43BAT41;Îlot 43 Bâtiment 41
_ILOT43BAT42;Îlot 43 Bâtiment 42
_ILOT43BAT44;Îlot 43 Bâtiment 44
_ILOT43BAT45;Îlot 43 Bâtiment 45
_ILOT43BAT46;Îlot 43 Bâtiment 46
_ILOT43BAT47;Îlot 43 Bâtiment 47
_ILOT43BAT48;Îlot 43 Bâtiment 48
//
//
_ILOT44BAT1;Îlot 44 Bâtiment 1
_ILOT44BAT2;Îlot 44 Bâtiment 2
_ILOT44BAT3;Îlot 44 Bâtiment 3
_ILOT44BAT4;Îlot 44 Bâtiment 4
_ILOT44BAT5;Îlot 44 Bâtiment 5 : Maison de Dieu
_ILOT44BAT6;Îlot 44 Bâtiment 6
_ILOT44BAT7;Îlot 44 Bâtiment 7
_ILOT44BAT8;Îlot 44 Bâtiment 8
_ILOT44BAT9;Îlot 44 Bâtiment 9
_ILOT44BAT11;Îlot 44 Bâtiment 11
_ILOT44BAT12;Îlot 44 Bâtiment 12
_ILOT44BAT13;Îlot 44 Bâtiment 13
_ILOT44BAT14;Îlot 44 Bâtiment 14
_ILOT44BAT16;Îlot 44 Bâtiment 16
_ILOT44BAT17;Îlot 44 Bâtiment 17
_ILOT44BAT18;Îlot 44 Bâtiment 18
_ILOT44BAT19;Îlot 44 Bâtiment 19
_ILOT44BAT20;Îlot 44 Bâtiment 20
_ILOT44BAT21;Îlot 44 Bâtiment 21
_ILOT44BAT22;Îlot 44 Bâtiment 22
_ILOT44BAT23;Îlot 44 Bâtiment 23
_ILOT44BAT27;Îlot 44 Bâtiment 27
_ILOT44BAT28;Îlot 44 Bâtiment 28
_ILOT44BAT29;Îlot 44 Bâtiment 29
_ILOT44BAT30;Îlot 44 Bâtiment 30
_ILOT44BAT31;Îlot 44 Bâtiment 31
_ILOT44BAT32;Îlot 44 Bâtiment 32
_ILOT44BAT35;Îlot 44 Bâtiment 35
_ILOT44BAT36;Îlot 44 Bâtiment 36
_ILOT44BAT37;Îlot 44 Bâtiment 37
_ILOT44BAT38;Îlot 44 Bâtiment 38
_ILOT44BAT39;Îlot 44 Bâtiment 39
_ILOT44BAT41;Îlot 44 Bâtiment 41
_ILOT44BAT42;Îlot 44 Bâtiment 42
_ILOT44BAT43;Îlot 44 Bâtiment 43
_ILOT44BAT44;Îlot 44 Bâtiment 44
_ILOT44BAT47;Îlot 44 Bâtiment 47
_ILOT44BAT49;Îlot 44 Bâtiment 49
_ILOT44BAT50;Îlot 44 Bâtiment 50
_ILOT44BAT53;Îlot 44 Bâtiment 53
_ILOT44BAT54;Îlot 44 Bâtiment 54
_ILOT44BAT55;Îlot 44 Bâtiment 55
_ILOT44BAT57;Îlot 44 Bâtiment 57
_ILOT44BAT58;Îlot 44 Bâtiment 58
_ILOT44BAT59;Îlot 44 Bâtiment 59
_ILOT44BAT60;Îlot 44 Bâtiment 60
_ILOT44BAT64;Îlot 44 Bâtiment 64
_ILOT44BAT65;Îlot 44 Bâtiment 65
_ILOT44BAT66;Îlot 44 Bâtiment 66
_ILOT44BAT67;Îlot 44 Bâtiment 67
_ILOT44BAT68;Îlot 44 Bâtiment 68
_ILOT44BAT70;Îlot 44 Bâtiment 70
_ILOT44BAT71;Îlot 44 Bâtiment 71
_ILOT44BAT72;Îlot 44 Bâtiment 72
_ILOT44BAT74;Îlot 44 Bâtiment 74
_ILOT44BAT75;Îlot 44 Bâtiment 75
_ILOT44BAT76;Îlot 44 Bâtiment 76
_ILOT44BAT77;Îlot 44 Bâtiment 77
_ILOT44BAT78;Îlot 44 Bâtiment 78
_ILOT44BAT79;Îlot 44 Bâtiment 79
_ILOT44BAT80;Îlot 44 Bâtiment 80
_ILOT44BAT81;Îlot 44 Bâtiment 81
_ILOT44BAT82;Îlot 44 Bâtiment 82
//
//
_ILOT45BAT1;Îlot 45 Bâtiment 1
_ILOT45BAT2;Îlot 45 Bâtiment 2
_ILOT45BAT3;Îlot 45 Bâtiment 3
_ILOT45BAT4;Îlot 45 Bâtiment 4
_ILOT45BAT5;Îlot 45 Bâtiment 5
_ILOT45BAT6;Îlot 45 Bâtiment 6
_ILOT45BAT7;Îlot 45 Bâtiment 7
_ILOT45BAT8;Îlot 45 Bâtiment 8
_ILOT45BAT9;Îlot 45 Bâtiment 9
_ILOT45BAT10;Îlot 45 Bâtiment 10
_ILOT45BAT13;Îlot 45 Bâtiment 13
_ILOT45BAT18;Îlot 45 Bâtiment 18
_ILOT45BAT19;Îlot 45 Bâtiment 19
_ILOT45BAT20;Îlot 45 Bâtiment 20
_ILOT45BAT32;Îlot 45 Bâtiment 32
_ILOT45BAT35;Îlot 45 Bâtiment 35
_ILOT45BAT36;Îlot 45 Bâtiment 36
_ILOT45BAT37;Îlot 45 Bâtiment 37
//
//
_ILOT46BAT1;Îlot 46 Bâtiment 1
_ILOT46BAT2;Îlot 46 Bâtiment 2
_ILOT46BAT3;Îlot 46 Bâtiment 3
_ILOT46BAT4;Îlot 46 Bâtiment 4
_ILOT46BAT5;Îlot 46 Bâtiment 5
_ILOT46BAT6;Îlot 46 Bâtiment 6
_ILOT46BAT7;Îlot 46 Bâtiment 7
_ILOT46BAT8;Îlot 46 Bâtiment 8
_ILOT46BAT9;Îlot 46 Bâtiment 9
_ILOT46BAT12;Îlot 46 Bâtiment 12
_ILOT46BAT13;Îlot 46 Bâtiment 13
_ILOT46BAT14;Îlot 46 Bâtiment 14
_ILOT46BAT15;Îlot 46 Bâtiment 15
_ILOT46BAT16;Îlot 46 Bâtiment 16
_ILOT46BAT17;Îlot 46 Bâtiment 17
_ILOT46BAT18;Îlot 46 Bâtiment 18
_ILOT46BAT19;Îlot 46 Bâtiment 19
_ILOT46BAT20;Îlot 46 Bâtiment 20
_ILOT46BAT21;Îlot 46 Bâtiment 21
_ILOT46BAT24;Îlot 46 Bâtiment 24
_ILOT46BAT25;Îlot 46 Bâtiment 25
_ILOT46BAT26;Îlot 46 Bâtiment 26
_ILOT46BAT27;Îlot 46 Bâtiment 27
_ILOT46BAT28;Îlot 46 Bâtiment 28
_ILOT46BAT29;Îlot 46 Bâtiment 29
_ILOT46BAT30;Îlot 46 Bâtiment 30
_ILOT46BAT31;Îlot 46 Bâtiment 31
_ILOT46BAT33;Îlot 46 Bâtiment 33
_ILOT46BAT34;Îlot 46 Bâtiment 34
_ILOT46BAT35;Îlot 46 Bâtiment 35
//
//
_ILOT47BAT1;Îlot 47 Bâtiment 1
_ILOT47BAT2;Îlot 47 Bâtiment 2
_ILOT47BAT3;Îlot 47 Bâtiment 3
_ILOT47BAT4;Îlot 47 Bâtiment 4
_ILOT47BAT5;Îlot 47 Bâtiment 5
_ILOT47BAT6;Îlot 47 Bâtiment 6
_ILOT47BAT7;Îlot 47 Bâtiment 7
_ILOT47BAT10;Îlot 47 Bâtiment 10
_ILOT47BAT11;Îlot 47 Bâtiment 11
_ILOT47BAT12;Îlot 47 Bâtiment 12
_ILOT47BAT13;Îlot 47 Bâtiment 13
_ILOT47BAT15;Îlot 47 Bâtiment 15
_ILOT47BAT17;Îlot 47 Bâtiment 17
_ILOT47BAT18;Îlot 47 Bâtiment 18
_ILOT47BAT19;Îlot 47 Bâtiment 19
_ILOT47BAT20;Îlot 47 Bâtiment 20
_ILOT47BAT21;Îlot 47 Bâtiment 21
_ILOT47BAT22;Îlot 47 Bâtiment 22
_ILOT47BAT23;Îlot 47 Bâtiment 23
_ILOT47BAT24;Îlot 47 Bâtiment 24
_ILOT47BAT25;Îlot 47 Bâtiment 25
_ILOT47BAT26;Îlot 47 Bâtiment 26
_ILOT47BAT27;Îlot 47 Bâtiment 27
_ILOT47BAT28;Îlot 47 Bâtiment 28
_ILOT47BAT29;Îlot 47 Bâtiment 29
_ILOT47BAT32;Îlot 47 Bâtiment 32
_ILOT47BAT33;Îlot 47 Bâtiment 33
_ILOT47BAT34;Îlot 47 Bâtiment 34
_ILOT47BAT35;Îlot 47 Bâtiment 35
_ILOT47BAT36;Îlot 47 Bâtiment 36
_ILOT47BAT37;Îlot 47 Bâtiment 37
_ILOT47BAT38;Îlot 47 Bâtiment 38
_ILOT47BAT39;Îlot 47 Bâtiment 39
_ILOT47BAT40;Îlot 47 Bâtiment 40
_ILOT47BAT41;Îlot 47 Bâtiment 41
_ILOT47BAT42;Îlot 47 Bâtiment 42
_ILOT47BAT43;Îlot 47 Bâtiment 43
_ILOT47BAT45;Îlot 47 Bâtiment 45
_ILOT47BAT46;Îlot 47 Bâtiment 46
_ILOT47BAT47;Îlot 47 Bâtiment 47
_ILOT47BAT48;Îlot 47 Bâtiment 48
_ILOT47BAT49;Îlot 47 Bâtiment 49
_ILOT47BAT50;Îlot 47 Bâtiment 50
_ILOT47BAT51;Îlot 47 Bâtiment 51
_ILOT47BAT52;Îlot 47 Bâtiment 52
_ILOT47BAT53;Îlot 47 Bâtiment 53
_ILOT47BAT54;Îlot 47 Bâtiment 54
_ILOT47BAT55;Îlot 47 Bâtiment 55
_ILOT47BAT56;Îlot 47 Bâtiment 56
_ILOT47BAT57;Îlot 47 Bâtiment 57
_ILOT47BAT58;Îlot 47 Bâtiment 58
_ILOT47BAT59;Îlot 47 Bâtiment 59
_ILOT47BAT60;Îlot 47 Bâtiment 60
_ILOT47BAT61;Îlot 47 Bâtiment 61
_ILOT47BAT62;Îlot 47 Bâtiment 62
_ILOT47BAT63;Îlot 47 Bâtiment 63
_ILOT47BAT71;Îlot 47 Bâtiment 71
_ILOT47BAT75;Îlot 47 Bâtiment 75
_ILOT47BAT76;Îlot 47 Bâtiment 76
_ILOT47BAT77;Îlot 47 Bâtiment 77
_ILOT47BAT78;Îlot 47 Bâtiment 78
_ILOT47BAT79;Îlot 47 Bâtiment 79
_ILOT47BAT80;Îlot 47 Bâtiment 80
_ILOT47BAT81;Îlot 47 Bâtiment 81
_ILOT47BAT82;Îlot 47 Bâtiment 82
_ILOT47BAT83;Îlot 47 Bâtiment 83
_ILOT47BAT84;Îlot 47 Bâtiment 84
_ILOT47BAT85;Îlot 47 Bâtiment 85
_ILOT47BAT86;Îlot 47 Bâtiment 86
_ILOT47BAT87;Îlot 47 Bâtiment 87
_ILOT47BAT88;Îlot 47 Bâtiment 88
_ILOT47BAT89;Îlot 47 Bâtiment 89
_ILOT47BAT90;Îlot 47 Bâtiment 90
_ILOT47BAT91;Îlot 47 Bâtiment 91
_ILOT47BAT94;Îlot 47 Bâtiment 94
//
//
_ILOT48BAT1;Îlot 48 Bâtiment 1
_ILOT48BAT2;Îlot 48 Bâtiment 2
_ILOT48BAT3;Îlot 48 Bâtiment 3
_ILOT48BAT4;Îlot 48 Bâtiment 4
_ILOT48BAT5;Îlot 48 Bâtiment 5
_ILOT48BAT6;Îlot 48 Bâtiment 6
_ILOT48BAT7;Îlot 48 Bâtiment 7
_ILOT48BAT8;Îlot 48 Bâtiment 8
_ILOT48BAT10;Îlot 48 Bâtiment 10
_ILOT48BAT11;Îlot 48 Bâtiment 11
_ILOT48BAT12;Îlot 48 Bâtiment 12
_ILOT48BAT14;Îlot 48 Bâtiment 14
_ILOT48BAT16;Îlot 48 Bâtiment 16
_ILOT48BAT17;Îlot 48 Bâtiment 17
_ILOT48BAT21;Îlot 48 Bâtiment 21
_ILOT48BAT22;Îlot 48 Bâtiment 22
_ILOT48BAT25;Îlot 48 Bâtiment 25
//
//
_ILOTB42BAT1;Îlot B42 Bâtiment 1
_ILOTB42BAT2;Îlot B42 Bâtiment 2
_ILOTB42BAT3;Îlot B42 Bâtiment 3
_ILOTB42BAT8;Îlot B42 Bâtiment 8
_ILOTB42BAT11;Îlot B42 Bâtiment 11
_ILOTB42BAT12;Îlot B42 Bâtiment 12
_ILOTB42BAT14;Îlot B42 Bâtiment 14
//
//
_FORTIF_BAT1; Fortifications, Bâtiment 1
_FORTIF_BAT2; Fortifications, Bâtiment 2
_FORTIF_BAT3; Fortifications, Bâtiment 3
_FORTIF_BAT4; Fortifications, Bâtiment 4
//
// table de campagne
_ILOTZ2BAT1;Zone 2 Bâtiment 1
_ILOTZ2BAT2;Zone 2 Bâtiment 2
_ILOTZ2BAT3;Zone 2 Bâtiment 3
_ILOTZ2BAT4;Zone 2 Bâtiment 4
_ILOTZ2BAT5;Zone 2 Bâtiment 5
_ILOTZ2BAT6;Zone 2 Bâtiment 6
_ILOTZ2BAT7;Zone 2 Bâtiment 7
_ILOTZ2BAT8;Zone 2 Bâtiment 8
_ILOTZ2BAT9;Zone 2 Bâtiment 9
_ILOTZ2BAT10;Zone 2 Bâtiment 10
_ILOTZ2BAT11;Zone 2 Bâtiment 11
_ILOTZ2BAT12;Zone 2 Bâtiment 12
_ILOTZ2BAT13;Zone 2 Bâtiment 13
_ILOTZ2BAT14;Zone 2 Bâtiment 14
_ILOTZ2BAT16;Zone 2 Bâtiment 16
_ILOTZ2BAT17;Zone 2 Bâtiment 17
_ILOTZ2BAT18;Zone 2 Bâtiment 18
_ILOTZ2BAT19;Zone 2 Bâtiment 19
_ILOTZ2BAT20;Zone 2 Bâtiment 20
_ILOTZ2BAT21;Zone 2 Bâtiment 21
_ILOTZ2BAT22;Zone 2 Bâtiment 22
_ILOTZ2BAT23;Zone 2 Bâtiment 23
_ILOTZ2BAT24;Zone 2 Bâtiment 24
_ILOTZ2BAT27;Zone 2 Bâtiment 27
_ILOTZ2BAT28;Zone 2 Bâtiment 28
_ILOTZ2BAT31;Zone 2 Bâtiment 31
_ILOTZ2BAT36;Zone 2 Bâtiment 36
_ILOTZ2BAT37;Zone 2 Bâtiment 37
_ILOTZ2BAT39;Zone 2 Bâtiment 39
_ILOTZ2BAT41;Zone 2 Bâtiment 41
_ILOTZ2BAT42;Zone 2 Bâtiment 42
_ILOTZ2BAT43;Zone 2 Bâtiment 43
_ILOTZ2BAT44;Zone 2 Bâtiment 44
_ILOTZ2BAT45;Zone 2 Bâtiment 45
_ILOTZ2BAT47;Zone 2 Bâtiment 47
_ILOTZ2BAT50;Zone 2 Bâtiment 50
_ILOTZ2BAT51;Zone 2 Bâtiment 51
_ILOTZ2BAT56;Zone 2 Bâtiment 56
_ILOTZ2BAT63;Zone 2 Bâtiment 63
_ILOTZ2BAT68;Zone 2 Bâtiment 68
_ILOTZ2BAT78;Zone 2 Bâtiment 78
_ILOTZ2BAT86;Zone 2 Bâtiment 86
_ILOTZ2BAT104;Zone 2 Bâtiment 104
_ILOTZ2BAT109;Zone 2 Bâtiment 109
_ILOTZ2BAT134;Zone 2 Bâtiment 134
_ILOTZ2BAT129;Zone 2 Bâtiment 129
_ILOTZ2BAT130;Zone 2 Bâtiment 130
_ILOTZ2BAT135;Zone 2 Bâtiment 135
_ILOTZ2BAT136;Zone 2 Bâtiment 136
_ILOTZ2BAT137;Zone 2 Bâtiment 137
//
//
